Rank,Team,2018,Last 3,Last 1,Home,Away,2017
1,Milwaukee,0.722,0.000,0.000,0.796,0.646,0.528
2,Toronto,0.698,0.667,1.000,0.759,0.635,0.685
3,Golden State,0.683,0.333,0.000,0.692,0.673,0.718
4,Denver,0.635,0.333,0.000,0.796,0.468,0.561
5,Houston,0.634,0.333,0.000,0.766,0.500,0.768
6,Portland,0.622,0.000,0.000,0.755,0.490,0.570
7,Philadelphia,0.617,0.333,0.000,0.745,0.489,0.620
8,Boston,0.593,0.000,0.000,0.667,0.522,0.653
9,Utah,0.586,0.333,0.000,0.698,0.477,0.570
10,Okla City,0.575,0.333,0.000,0.651,0.500,0.568
11,San Antonio,0.573,0.333,0.000,0.773,0.378,0.552
12,LA Clippers,0.568,0.333,0.000,0.591,0.545,0.512
13,Indiana,0.558,0.000,0.000,0.674,0.442,0.573
14,Brooklyn,0.494,0.000,0.000,0.535,0.455,0.342
15,Orlando,0.494,0.000,0.000,0.561,0.435,0.305
16,Detroit,0.477,0.000,0.000,0.605,0.349,0.476
17,Charlotte,0.476,0.667,0.000,0.610,0.342,0.439
18,Miami,0.476,0.333,0.000,0.463,0.488,0.517
19,Sacramento,0.476,0.000,0.000,0.585,0.366,0.329
20,LA Lakers,0.451,0.667,0.000,0.537,0.366,0.427
21,Minnesota,0.439,0.000,0.000,0.610,0.268,0.552
22,Dallas,0.402,0.667,0.000,0.585,0.220,0.293
23,Memphis,0.402,0.333,1.000,0.512,0.293,0.268
24,New Orleans,0.402,0.333,0.000,0.463,0.342,0.582
25,Washington,0.390,0.000,0.000,0.525,0.262,0.511
26,Atlanta,0.354,0.000,0.000,0.415,0.293,0.293
27,Chicago,0.268,0.000,0.000,0.220,0.317,0.329
28,Phoenix,0.232,0.333,0.000,0.293,0.171,0.256
29,Cleveland,0.232,0.000,0.000,0.317,0.146,0.596
30,New York,0.207,0.667,0.000,0.220,0.195,0.354
